상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌,통합주문건수
Leather Cowboy Boots Black,공통,38.0,32.0,6.0,3811262.0,3148000.0,663262.0,100296.0,37.0,31.0,6.0,2025-01-12,24 08 FW,37.0
Hand Warmer Cottage Floral L/S Beige,공통,39.0,21.0,18.0,3421654.0,1365100.0,2056554.0,87735.0,38.0,21.0,18.0,2025-12-13,25 FW 02,39.0
Flying Heaven Slim Tee White,공통,38.0,27.0,11.0,1445788.0,636300.0,809488.0,38047.0,36.0,27.0,11.0,2025-05-20,25 SS 02,38.0
Milky Way Leg Warmer Black,공통,36.0,27.0,9.0,1254870.0,486960.0,767910.0,34858.0,35.0,26.0,9.0,2025-07-04,25 SS 03,35.0
My Little Star L/S Chocolate,공통,36.0,30.0,6.0,1663097.0,1201538.0,461559.0,46197.0,36.0,30.0,6.0,2025-04-11,25 SS 01,36.0
Boucle Check Hoodie Jacket Navy,공통,36.0,32.0,4.0,5651141.0,5040000.0,611141.0,156976.0,35.0,32.0,4.0,2025-12-19,25 FW 02,36.0
My Little Star Shorts White,공통,36.0,29.0,7.0,2272722.0,1755660.0,517062.0,63131.0,36.0,29.0,7.0,2025-07-02,25 SS 03,36.0
Heart Puffer Jacket Burgundy,공통,36.0,31.0,5.0,4910422.0,4129500.0,780922.0,136401.0,36.0,31.0,5.0,2025-01-05,24 08 FW,36.0
Butter Dimsum Bag,공통,41.0,30.0,11.0,5660314.0,3576000.0,2084314.0,138056.0,40.0,29.0,11.0,2026-04-13,26 SS 01,40.0
Zzz Baby Sheeps Pajama Crop Pants Ivory,공통,37.0,28.0,9.0,2459215.0,1404000.0,1055215.0,66465.0,35.0,26.0,9.0,2025-12-14,25 FW 02,35.0
Unite Check Jacket Navy,공통,36.0,19.0,17.0,3622848.0,1637520.0,1985328.0,100635.0,36.0,19.0,17.0,2025-04-09,25 SS 01,36.0
Heart Puffer Jacket Matte Black,공통,35.0,33.0,2.0,4881730.0,4575000.0,306730.0,139478.0,35.0,33.0,2.0,2025-01-03,24 08 FW,35.0
Belted Highneck Warmer Faux Fur Jacket Black,공통,35.0,29.0,6.0,4673729.0,3910350.0,763379.0,133535.0,35.0,29.0,6.0,2025-12-18,25 FW 02,35.0
Belted Highneck Warmer Faux Fur Jacket Brown,공통,34.0,27.0,7.0,4240483.0,3283500.0,956983.0,124720.0,32.0,27.0,7.0,2025-12-16,25 FW 02,34.0
Buttons Angel Tee White,공통,33.0,29.0,4.0,1681507.0,1418990.0,262517.0,50955.0,33.0,29.0,4.0,2025-05-17,25 SS 02,33.0
Ragged Scarf Check Shirts Navy,공통,32.0,25.0,7.0,3715575.0,2717000.0,998575.0,116112.0,31.0,24.0,7.0,2025-09-10,25 FW 01,31.0
Hand Warmer Hairy Cozy Stripe L/S Brown,공통,33.0,13.0,20.0,3252681.0,854100.0,2398581.0,98566.0,33.0,13.0,20.0,2025-12-14,25 FW 02,33.0
Stripe Hoodie Cardigan Ivory,공통,32.0,29.0,3.0,2967635.0,2618700.0,348935.0,92739.0,32.0,29.0,3.0,2025-01-05,24 홀리데이컬렉션,32.0
Dot Garden Dress Ivory,공통,32.0,22.0,10.0,2180708.0,1281770.0,898938.0,68147.0,31.0,22.0,10.0,2025-07-02,25 SS 03,32.0
Logo Tee White,공통,32.0,31.0,1.0,1193838.0,1126350.0,67488.0,37307.0,32.0,31.0,1.0,2025-02-13,캐리오버,32.0
Buttons Collar Dress Black,공통,31.0,29.0,2.0,3074330.0,2853070.0,221260.0,99172.0,31.0,29.0,2.0,2025-05-17,25 SS 02,31.0
Circle Sleeveless Navy,공통,30.0,26.0,4.0,905668.0,654450.0,251218.0,30189.0,30.0,26.0,4.0,2025-04-22,캐리오버,30.0
Check Twin Buttons Shorts Green,공통,30.0,18.0,12.0,1758815.0,966800.0,792015.0,58627.0,30.0,18.0,12.0,2025-05-18,25 SS 02,30.0
Angel Slim Tee White,공통,30.0,23.0,7.0,1053324.0,564495.0,488829.0,35111.0,28.0,21.0,7.0,2025-05-20,25 SS 02,28.0
Zzz Baby Sheeps Pajama Top Ivory,공통,30.0,20.0,10.0,2900395.0,1692000.0,1208395.0,96680.0,29.0,19.0,10.0,2025-12-16,25 FW 02,29.0
Cozy Pom-Pom Dot Shearling Dumble Jumper Brown,해외전용,31.0,0.0,31.0,6494593.0,0.0,6494593.0,209503.0,31.0,0.0,31.0,2025-12-13,25 FW 02,31.0
Removable Shearling Knit Hoodie Zip Beige,공통,29.0,23.0,6.0,3884959.0,3136500.0,748459.0,133964.0,29.0,23.0,6.0,2025-09-12,25 FW 01,29.0
Check Twin Bottons Shorts Blue,공통,29.0,24.0,5.0,1566461.0,1277435.0,289026.0,54016.0,29.0,24.0,5.0,2025-05-17,25 SS 02,29.0
Reversible Grass Check Shearling Jacket Green,공통,28.0,16.0,12.0,3218538.0,1606500.0,1612038.0,114948.0,28.0,16.0,12.0,2025-12-22,25 FW 02,28.0
Bite Apple Sleeveless Gray,공통,28.0,18.0,10.0,1300634.0,611695.0,688939.0,46451.0,28.0,18.0,10.0,2025-07-05,25 SS 03,28.0
[Setup] Sheer Dot Layerd Tee Beige,공통,27.0,23.0,4.0,1499306.0,1235570.0,263736.0,55530.0,27.0,23.0,4.0,2025-05-18,25 SS 02,27.0
[Setup] Ribbon Layerd Tee Green,공통,27.0,23.0,4.0,1440040.0,1175110.0,264930.0,53335.0,27.0,23.0,4.0,2025-05-17,25 SS 02,27.0
Off Shoulder Top Navy,공통,27.0,21.0,6.0,1464957.0,852400.0,612557.0,54258.0,27.0,21.0,6.0,2025-01-05,24 홀리데이컬렉션,27.0
Ribbon Logo Sleeveless White,공통,27.0,23.0,4.0,975677.0,745500.0,230177.0,36136.0,26.0,22.0,4.0,2025-01-29,캐리오버,26.0
Velour Ear Zipup Crop Hoodie Skyblue,공통,27.0,26.0,1.0,2145843.0,2055134.0,90709.0,79476.0,27.0,26.0,1.0,2025-01-07,24 홀리데이컬렉션,27.0
Dot Garden Dress Mint,공통,29.0,17.0,12.0,2112046.0,988090.0,1123956.0,72829.0,29.0,17.0,12.0,2025-07-22,25 SS 03,29.0
Bite Apple Sleeveless White,공통,27.0,17.0,10.0,1295162.0,597415.0,697747.0,47969.0,27.0,17.0,10.0,2025-07-04,25 SS 03,27.0
Ribbon Slim Tee White,공통,26.0,16.0,10.0,1182147.0,503880.0,678267.0,45467.0,26.0,16.0,10.0,2025-01-09,캐리오버,26.0
Loose Fit Top Charcoal,공통,26.0,19.0,7.0,1341959.0,844680.0,497279.0,51614.0,26.0,19.0,7.0,2025-01-27,24 08 FW,26.0
BadBear Tee White,공통,27.0,24.0,3.0,977185.0,757100.0,220085.0,36192.0,25.0,22.0,3.0,2025-01-28,배드베어,25.0
Wood Check Hoodie Shirts Green,공통,26.0,11.0,15.0,3375695.0,1140000.0,2235695.0,129834.0,26.0,11.0,15.0,2025-09-12,25 FW 01,26.0
BadBear Varsity Jacket,공통,26.0,22.0,4.0,3838428.0,3023540.0,814888.0,147632.0,26.0,22.0,4.0,2025-01-13,배드베어,26.0
Venatio Layered Belt Skirt Charcoal,공통,26.0,15.0,11.0,2554373.0,1308000.0,1246373.0,98245.0,26.0,15.0,11.0,2025-12-18,25 FW 02,26.0
Flora Lace Skirt Baby Pink,공통,30.0,25.0,5.0,1826666.0,1290250.0,536416.0,60889.0,30.0,25.0,5.0,2026-02-07,26 VT,30.0
Logo Puff Hoodie Blue,공통,25.0,22.0,3.0,1659406.0,1441840.0,217566.0,66376.0,24.0,21.0,3.0,2025-01-02,캐리오버,24.0
BadBear Head Patch Cardigan Cloudy Blue,공통,25.0,22.0,3.0,1039552.0,866250.0,173302.0,41582.0,25.0,22.0,3.0,2025-01-17,배드베어,25.0
Milky Way Leg Warmer Skyblue,공통,27.0,17.0,10.0,1036783.0,327480.0,709303.0,38399.0,27.0,17.0,10.0,2025-07-03,25 SS 03,27.0
Doze Lace Sleeveless Neo Dot,공통,26.0,24.0,2.0,1228441.0,1010500.0,217941.0,47248.0,26.0,24.0,2.0,2026-04-13,26 SS 01,26.0
Loose Fit Top Deep Beige,공통,25.0,13.0,12.0,1435244.0,577450.0,857794.0,57410.0,25.0,13.0,12.0,2025-01-16,24 08 FW,25.0
Shooting Star Buttons Angel Tee White,공통,24.0,23.0,1.0,1308925.0,1218645.0,90280.0,54539.0,24.0,23.0,1.0,2025-05-18,25 SS 02,24.0
BadBear Varsity Jacket Navy,공통,23.0,22.0,1.0,2674733.0,2597950.0,76783.0,116293.0,23.0,22.0,1.0,2025-02-06,배드베어,23.0
BadBear Head Patch Cardigan Black,공통,23.0,18.0,5.0,1163694.0,766815.0,396879.0,50595.0,23.0,18.0,5.0,2025-01-04,배드베어,23.0
Memories Puff Sweatshirt Gray,공통,22.0,20.0,2.0,613603.0,447300.0,166303.0,27891.0,20.0,18.0,2.0,2025-01-12,캐리오버,20.0
Velour Pants Navy,공통,21.0,17.0,4.0,1567914.0,1272774.0,295140.0,74663.0,21.0,17.0,4.0,2025-01-03,24 홀리데이컬렉션,21.0
Loose Fit Top Ivory,공통,21.0,17.0,4.0,1040887.0,738800.0,302087.0,49566.0,21.0,17.0,4.0,2025-01-12,24 08 FW,21.0
Silky Babydoll Dress Ivory,공통,23.0,10.0,13.0,3404721.0,1413400.0,1991321.0,148031.0,23.0,10.0,13.0,2026-02-13,26 VT,23.0
BadBear Crop Tee White,공통,20.0,17.0,3.0,660392.0,529299.0,131093.0,33020.0,19.0,17.0,2.0,2025-01-28,배드베어,19.0
Hockey Jersey Blue,공통,20.0,17.0,3.0,2667802.0,2216920.0,450882.0,133390.0,20.0,17.0,3.0,2025-01-05,24 08 FW,20.0
Ribbon BadBear Tee Black,국내전용,23.0,23.0,0.0,674800.0,674800.0,0.0,29339.0,21.0,21.0,0.0,2025-02-23,배드베어,21.0
Classic Logo Cap Navy,공통,19.0,17.0,2.0,376953.0,228735.0,148218.0,19840.0,19.0,17.0,2.0,2025-01-05,캐리오버,19.0
Rush Drapey Snap One Shoulder Top Gray,공통,24.0,19.0,5.0,1901527.0,1302850.0,598677.0,79230.0,24.0,19.0,5.0,2026-04-13,26 SS 01,24.0
Dotty Tutu Mini Dress Dusty Pink,공통,22.0,13.0,9.0,2053149.0,976600.0,1076549.0,93325.0,21.0,13.0,9.0,2026-04-13,26 SS 01,22.0
Velour Pants Skyblue,공통,19.0,18.0,1.0,1276093.0,1233224.0,42869.0,67163.0,19.0,18.0,1.0,2025-01-01,24 홀리데이컬렉션,19.0
Mocha Dimsum Bag,공통,24.0,11.0,13.0,3636698.0,1311200.0,2325498.0,151529.0,24.0,11.0,13.0,2026-04-21,26 SS 01,24.0
Pattern Beanie Skyblue,공통,19.0,14.0,5.0,968763.0,465750.0,503013.0,50988.0,19.0,14.0,5.0,2025-02-18,캐리오버,19.0
Off Shoulder Top Pink,공통,17.0,13.0,4.0,818701.0,550500.0,268201.0,48159.0,17.0,13.0,4.0,2025-01-05,24 홀리데이컬렉션,17.0
BadBear Seoul Varsity Jacket Navy,공통,17.0,15.0,2.0,1703664.0,1549640.0,154024.0,100216.0,16.0,14.0,2.0,2025-02-10,SHOP SEOUL,16.0
Lullaby Satin Lace Top Lemon,공통,26.0,25.0,1.0,2119455.0,2025200.0,94255.0,81518.0,26.0,25.0,1.0,2026-04-15,26 SS 01,26.0
Rush Drapey Snap One Shoulder Top Ivory,공통,30.0,27.0,3.0,1751778.0,1467200.0,284578.0,58393.0,30.0,27.0,3.0,2026-04-17,26 SS 01,30.0
Doze Lace Sleeveless White,공통,19.0,17.0,2.0,928375.0,676500.0,251875.0,48862.0,19.0,17.0,2.0,2026-04-12,26 SS 01,19.0
Logo Beanie Skyblue,공통,15.0,11.0,4.0,405206.0,132750.0,272456.0,27014.0,15.0,11.0,4.0,2025-04-25,캐리오버,15.0
Check Beach Jacket Skyblue,공통,14.0,12.0,2.0,1071831.0,884500.0,187331.0,76559.0,14.0,12.0,2.0,2025-01-10,캐리오버,14.0
Logo Pull Zip Hoodie Navy,공통,14.0,11.0,3.0,1442930.0,1188000.0,254930.0,103066.0,14.0,11.0,3.0,2025-01-03,캐리오버,14.0
Velour Zipup Crop Jersey Navy,공통,14.0,13.0,1.0,1349576.0,1210900.0,138676.0,96398.0,14.0,13.0,1.0,2025-01-10,24 홀리데이컬렉션,14.0
Logo Beanie Navy,국내전용,14.0,14.0,0.0,188325.0,188325.0,0.0,13452.0,14.0,14.0,0.0,2025-04-23,캐리오버,14.0
Tiered Lace Capri Pants Vanilla,공통,18.0,13.0,5.0,1469955.0,901700.0,568255.0,81664.0,18.0,13.0,5.0,2026-04-13,26 SS 01,18.0
Ribbon BadBear Tee White,공통,13.0,11.0,2.0,573337.0,367750.0,205587.0,44103.0,12.0,10.0,2.0,2025-01-04,배드베어,12.0
Logo Crop Zipup Jersey Pink,공통,13.0,10.0,3.0,660383.0,438600.0,221783.0,50799.0,13.0,10.0,3.0,2025-02-06,캐리오버,13.0
Pore Half Knit Top Baby Mint,공통,14.0,12.0,2.0,1046837.0,807300.0,239537.0,74774.0,14.0,12.0,2.0,2026-04-11,26 SS 01,14.0
Fairy Tale Side Tie Skirt White,공통,14.0,10.0,4.0,1703273.0,1089000.0,614273.0,121662.0,14.0,10.0,4.0,2026-04-12,26 SS 01,14.0
Dotty Tutu Mini Dress Misty Blue,국내전용,13.0,13.0,0.0,969000.0,969000.0,0.0,74538.0,13.0,13.0,0.0,2026-04-15,26 SS 01,13.0
Berry BadBear Slim Tee White,공통,11.0,10.0,1.0,470812.0,394000.0,76812.0,42801.0,11.0,10.0,1.0,2025-01-04,배드베어,11.0
PPL Cap Black,공통,11.0,10.0,1.0,236568.0,175000.0,61568.0,21506.0,10.0,9.0,1.0,2025-01-05,캐리오버,10.0
Muddy Ribbon Dress Brown,공통,11.0,6.0,5.0,1095653.0,546000.0,549653.0,99605.0,11.0,6.0,5.0,2025-01-10,24 08 FW,11.0
Logo Sweat Pants Ivory,공통,10.0,7.0,3.0,720683.0,383590.0,337093.0,72068.0,10.0,7.0,3.0,2025-02-26,캐리오버,10.0
BadBear Seoul Varsity Jacket Blue,공통,10.0,9.0,1.0,851242.0,700800.0,150442.0,85124.0,10.0,9.0,1.0,2025-03-18,SHOP SEOUL,10.0
Logo Crop Sweatshirt Charcoal,공통,10.0,9.0,1.0,297716.0,217500.0,80216.0,29772.0,10.0,9.0,1.0,2025-01-10,캐리오버,10.0
Lullaby Satin Lace Top Coral,공통,9.0,8.0,1.0,785040.0,647400.0,137640.0,87227.0,9.0,8.0,1.0,2026-04-14,26 SS 01,9.0
BadBear Ringer Slim Tee Skyblue,공통,9.0,3.0,6.0,457603.0,107750.0,349853.0,50845.0,8.0,3.0,5.0,2025-07-07,배드베어,8.0
BadBear Key Chain,공통,9.0,4.0,5.0,602936.0,100000.0,502936.0,66993.0,9.0,4.0,5.0,2025-05-06,배드베어,9.0
Logo Beanie Cool Grey,공통,9.0,6.0,3.0,449905.0,139500.0,310405.0,49989.0,9.0,6.0,3.0,2025-01-10,캐리오버,9.0
[Setup] Endot Blazer Jacket Navy,국내전용,9.0,9.0,0.0,1573656.0,1573656.0,0.0,174851.0,8.0,8.0,0.0,2025-05-17,25 SS 01,8.0
BadBear Slim Tee Blue,공통,9.0,8.0,1.0,266617.0,226420.0,40197.0,29624.0,9.0,8.0,1.0,2025-03-10,배드베어,9.0
BadBear Head Patch Cardigan Grey,공통,9.0,7.0,2.0,489269.0,294000.0,195269.0,54363.0,9.0,7.0,2.0,2025-01-04,배드베어,9.0
BadBear Slim Tee White,공통,9.0,5.0,4.0,322890.0,172200.0,150690.0,35877.0,7.0,5.0,2.0,2025-04-28,배드베어,7.0
Venatio Layered Belt Skirt Brown,공통,8.0,4.0,4.0,945812.0,432000.0,513812.0,118226.0,8.0,4.0,4.0,2025-12-16,25 FW 02,8.0
Logo Sweat Pants Navy,공통,8.0,7.0,1.0,616002.0,538450.0,77552.0,77000.0,8.0,7.0,1.0,2025-01-08,캐리오버,8.0
BadBear Ringer Slim Tee Navy,국내전용,8.0,8.0,0.0,204750.0,204750.0,0.0,25594.0,8.0,8.0,0.0,2025-04-20,배드베어,8.0
Check Beach Shorts Skyblue,공통,8.0,7.0,1.0,276171.0,233500.0,42671.0,34521.0,8.0,7.0,1.0,2025-01-01,캐리오버,8.0
BadBear Crop Top Black,공통,7.0,6.0,1.0,219357.0,132000.0,87357.0,31337.0,7.0,6.0,1.0,2025-01-10,배드베어,7.0
BadBear Seoul Hoodie Navy,공통,7.0,6.0,1.0,363589.0,237000.0,126589.0,51941.0,6.0,5.0,1.0,2025-10-08,SHOP SEOUL,6.0
Dreamy Rose Cardigan White,공통,7.0,6.0,1.0,747100.0,643500.0,103600.0,106729.0,6.0,6.0,1.0,2026-04-13,26 SS 01,7.0
Heart Puffer Jacket City Black,국내전용,7.0,7.0,0.0,1037000.0,1037000.0,0.0,148143.0,7.0,7.0,0.0,2025-01-12,24 08 FW,7.0
Suede Bao Bag Black,국내전용,6.0,6.0,0.0,414600.0,414600.0,0.0,69100.0,6.0,6.0,0.0,2025-01-01,24 08 FW,6.0
Graffiti Tee White,국내전용,6.0,6.0,0.0,127050.0,127050.0,0.0,21175.0,3.0,3.0,0.0,2025-04-25,캐리오버,3.0
Fairy Tale Side Tie Skirt Lemon,공통,6.0,4.0,2.0,646941.0,429000.0,217941.0,107824.0,6.0,4.0,2.0,2026-04-13,26 SS 01,6.0
B Patch College Hoodie Navy,공통,6.0,5.0,1.0,236090.0,161950.0,74140.0,39348.0,6.0,5.0,1.0,2025-08-18,캐리오버,6.0
Graffiti Sweat Pants Charcoal,국내전용,6.0,6.0,0.0,267890.0,267890.0,0.0,44648.0,6.0,6.0,0.0,2025-01-15,캐리오버,6.0
Ribbon BadBear Ringer Slim Tee White,공통,6.0,4.0,2.0,274851.0,137000.0,137851.0,45808.0,6.0,4.0,2.0,2025-04-24,배드베어,6.0
B Patch College Hoodie Black,국내전용,6.0,6.0,0.0,150495.0,150495.0,0.0,25082.0,6.0,6.0,0.0,2025-05-01,캐리오버,6.0
Classic Logo Cap Black,공통,6.0,3.0,3.0,327221.0,85800.0,241421.0,54537.0,6.0,3.0,3.0,2025-02-06,캐리오버,6.0
BadBear Hug Tee White,공통,6.0,3.0,3.0,339625.0,121800.0,217825.0,56604.0,6.0,3.0,3.0,2025-04-03,배드베어,6.0
BadBear Cap Black,공통,5.0,4.0,1.0,161857.0,121660.0,40197.0,32371.0,5.0,4.0,1.0,2025-04-24,배드베어,5.0
Logo Pull Zip Hoodie Blue,공통,5.0,3.0,2.0,436120.0,297000.0,139120.0,87224.0,5.0,3.0,2.0,2025-01-12,캐리오버,5.0
Bond Bunny Crop Tee Lime,공통,5.0,3.0,2.0,185137.0,58800.0,126337.0,37027.0,5.0,3.0,2.0,2025-02-08,캐리오버,5.0
Dreamy Rose Cardigan Oatmeal,국내전용,5.0,5.0,0.0,533500.0,533500.0,0.0,106700.0,3.0,5.0,0.0,2026-04-18,26 SS 01,5.0
BadBear Seoul Tee Black,공통,5.0,4.0,1.0,236470.0,141750.0,94720.0,47294.0,5.0,4.0,1.0,2025-03-01,SHOP SEOUL,5.0
Graffiti Tee Black,국내전용,5.0,5.0,0.0,113190.0,113190.0,0.0,22638.0,5.0,5.0,0.0,2025-04-24,캐리오버,5.0
BadBear Hug Patch Crop Zipup Hoodie Navy,공통,5.0,3.0,2.0,306397.0,167700.0,138697.0,61279.0,5.0,3.0,2.0,2025-02-01,배드베어,5.0
Dot Buttons Knit Double Navy Setup,국내전용,4.0,4.0,0.0,565600.0,565600.0,0.0,141400.0,4.0,4.0,0.0,2025-04-23,25 SS 01,4.0
BadBear Slim Tee Black,공통,4.0,3.0,1.0,203032.0,87000.0,116032.0,50758.0,4.0,3.0,1.0,2025-03-16,배드베어,4.0
BadBear Seoul Slim Tee White,공통,4.0,1.0,3.0,243572.0,29400.0,214172.0,60893.0,4.0,1.0,3.0,2025-02-10,SHOP SEOUL,4.0
Dot Buttons Knit Double Gray Setup,공통,4.0,2.0,2.0,457081.0,282800.0,174281.0,114270.0,4.0,2.0,2.0,2025-04-29,25 SS 01,4.0
Baby BadBear Oversized Tee White,국내전용,5.0,4.0,1.0,148960.0,112700.0,36260.0,29792.0,5.0,4.0,1.0,2025-01-16,배드베어,5.0
Logo Crop Zipup Jersey Blue,공통,4.0,3.0,1.0,169898.0,116100.0,53798.0,42474.0,4.0,3.0,1.0,2025-01-15,캐리오버,4.0
Endot Blazer Jacket Navy Setup,국내전용,4.0,4.0,0.0,873600.0,873600.0,0.0,218400.0,4.0,4.0,0.0,2025-04-23,25 SS 01,4.0
BadBear Photo Card Keyring,공통,3.0,1.0,2.0,205175.0,22000.0,183175.0,68392.0,3.0,1.0,2.0,2025-02-01,배드베어,3.0
Baby BadBear Oversized Tee Skyblue,공통,3.0,2.0,1.0,117000.0,61870.0,55130.0,39000.0,3.0,2.0,1.0,2025-04-24,배드베어,3.0
Ribbon Sleeveless White,국내전용,3.0,3.0,0.0,111150.0,111150.0,0.0,37050.0,3.0,3.0,0.0,2025-01-09,캐리오버,3.0
Ribbon Crop Jacket Navy,국내전용,3.0,3.0,0.0,462500.0,462500.0,0.0,154167.0,3.0,3.0,0.0,2025-01-08,캐리오버,3.0
Ribbon Crop Sweatshirt Navy,국내전용,3.0,3.0,0.0,102600.0,102600.0,0.0,34200.0,3.0,3.0,0.0,2025-04-23,캐리오버,3.0
BadBear Seoul Stacking Mug,공통,4.0,1.0,3.0,227382.0,23000.0,204382.0,56846.0,4.0,1.0,3.0,2025-05-21,SHOP SEOUL,4.0
BadBear Ringer Slim Tee Blue,공통,3.0,1.0,2.0,167680.0,29000.0,138680.0,55893.0,3.0,1.0,2.0,2025-02-10,배드베어,3.0
Logo Sweat Pants Skyblue,국내전용,3.0,3.0,0.0,80100.0,80100.0,0.0,26700.0,3.0,3.0,0.0,2025-01-01,캐리오버,3.0
DJ BadBear Graphic Poster Set,해외전용,3.0,0.0,3.0,248957.0,0.0,248957.0,82986.0,2.0,0.0,3.0,2025-12-02,배드베어,3.0
Pore Half Knit Top Ivory,국내전용,6.0,4.0,2.0,499045.0,265650.0,233395.0,83174.0,6.0,4.0,2.0,2026-05-01,26 SS 01,6.0
Endot Blazer Jacket Navy Set Up,해외전용,3.0,0.0,3.0,562089.0,0.0,562089.0,187363.0,3.0,0.0,3.0,2025-04-23,25 SS 01,3.0
BadBear Crop Sweatshirt Navy,공통,2.0,1.0,1.0,94900.0,41250.0,53650.0,47450.0,2.0,1.0,1.0,2025-02-02,배드베어,2.0
BadBear Graphic Hoodie Grey,국내전용,2.0,2.0,0.0,97900.0,97900.0,0.0,48950.0,2.0,2.0,0.0,2025-01-15,캐리오버,2.0
BadBear Face Smart Tok,해외전용,2.0,0.0,2.0,106811.0,0.0,106811.0,53406.0,2.0,0.0,2.0,2025-11-16,배드베어,2.0
BadBear Slim Tee Skyblue,해외전용,3.0,1.0,2.0,134924.0,21000.0,113924.0,44975.0,3.0,1.0,2.0,2025-07-15,배드베어,3.0
BadBear Heart Cap Green,국내전용,2.0,2.0,0.0,50700.0,50700.0,0.0,25350.0,2.0,2.0,0.0,2025-02-02,배드베어,2.0
Endot Blazer Jacket Charcoal Set Up,해외전용,2.0,0.0,2.0,288581.0,0.0,288581.0,144290.0,2.0,0.0,2.0,2025-05-04,25 SS 01,2.0
BadBear Head Patch Cardigan Navy,공통,2.0,1.0,1.0,117924.0,42000.0,75924.0,58962.0,2.0,1.0,1.0,2025-01-14,배드베어,2.0
Endot Blazer Jacket Charcoal Setup,국내전용,2.0,2.0,0.0,436800.0,436800.0,0.0,218400.0,2.0,2.0,0.0,2025-04-25,25 SS 01,2.0
Punk Crop Top Gray,국내전용,2.0,2.0,0.0,32900.0,32900.0,0.0,16450.0,2.0,2.0,0.0,2025-02-08,캐리오버,2.0
[Setup] Dot Buttons Knit Double Gray,국내전용,2.0,2.0,0.0,251300.0,251300.0,0.0,125650.0,2.0,2.0,0.0,2025-05-24,25 SS 01,2.0
Ribbon Blossom Crop Jacket White,국내전용,2.0,2.0,0.0,261000.0,261000.0,0.0,130500.0,2.0,2.0,0.0,2025-02-08,캐리오버,2.0
Ribbon BadBear Crop Hoodie White,국내전용,1.0,1.0,0.0,33600.0,33600.0,0.0,33600.0,1.0,1.0,0.0,2025-01-30,배드베어,1.0
BadBear Heart Cap Black,국내전용,1.0,1.0,0.0,26000.0,26000.0,0.0,26000.0,1.0,1.0,0.0,2025-07-05,배드베어,1.0
BadBear Seoul Tee White,해외,1.0,0.0,1.0,60638.0,0.0,60638.0,60638.0,1.0,0.0,1.0,2026-05-14,SHOP SEOUL,1.0
Lettering Crop Sweatshirt Navy,국내전용,1.0,1.0,0.0,22500.0,22500.0,0.0,22500.0,1.0,1.0,0.0,2025-01-08,캐리오버,1.0
Setup Ribbon Layerd Tee White,해외전용,1.0,0.0,1.0,42671.0,0.0,42671.0,42671.0,1.0,0.0,1.0,2025-05-19,25 SS 02,1.0
Logo Zipup Jersey Blue,국내전용,1.0,1.0,0.0,44700.0,44700.0,0.0,44700.0,1.0,1.0,0.0,2025-02-05,캐리오버,1.0
Heart Puffer Pouch Sleeve City Black,국내전용,1.0,1.0,0.0,55000.0,55000.0,0.0,55000.0,1.0,1.0,0.0,2025-04-01,24 08 FW,1.0
BadBear Art Toy #2,해외전용,1.0,0.0,1.0,139157.0,0.0,139157.0,139157.0,1.0,0.0,1.0,2025-04-25,배드베어,1.0
BadBear Graphic Cushion,국내전용,1.0,1.0,0.0,63750.0,63750.0,0.0,63750.0,1.0,1.0,0.0,2025-12-21,배드베어,1.0
Ribbon BadBear Rubber Keyring,해외전용,1.0,0.0,1.0,74140.0,0.0,74140.0,74140.0,1.0,0.0,1.0,2025-12-08,배드베어,1.0
Racing Crop Tee Black,해외전용,1.0,0.0,1.0,77681.0,0.0,77681.0,77681.0,1.0,0.0,1.0,2025-02-25,캐리오버,1.0
BadBear Seoul Hoodie White,국내전용,1.0,1.0,0.0,79000.0,79000.0,0.0,79000.0,1.0,1.0,0.0,2025-08-27,SHOP SEOUL,1.0
Cotton Cargo Skirt Pants Navy,해외전용,1.0,0.0,1.0,141784.0,0.0,141784.0,141784.0,1.0,0.0,1.0,2025-05-02,캐리오버,1.0
Bear Ear Zipup Crop Hoodie White,국내전용,1.0,1.0,0.0,139000.0,139000.0,0.0,139000.0,1.0,1.0,0.0,2025-03-31,캐리오버,1.0
[Setup] Dot Buttons Knit Double Navy,국내전용,1.0,1.0,0.0,141400.0,141400.0,0.0,141400.0,1.0,1.0,0.0,2025-05-17,25 SS 01,1.0
[Setup] Endot Blazer Jacket Charcoal,국내전용,1.0,1.0,0.0,218400.0,218400.0,0.0,218400.0,1.0,1.0,0.0,2025-05-21,25 SS 01,1.0
Pattern Beanie Midnight,국내전용,1.0,1.0,0.0,22500.0,22500.0,0.0,22500.0,1.0,1.0,0.0,2025-01-28,캐리오버,1.0
Jelly Lemon Dimsum Bag,국내전용,44.0,31.0,13.0,5770520.0,3885000.0,1885520.0,131148.0,42.0,29.0,13.0,2026-05-28,기타,42.0
Jelly Mint Dimsum Bag,국내+해외,61.0,28.0,33.0,8356320.0,3570000.0,4786320.0,136989.0,57.0,24.0,33.0,2026-05-28,기타,57.0
Jelly Peach Dimsum Bag,국내+해외,29.0,15.0,14.0,3605560.0,1575000.0,2030560.0,124330.0,29.0,15.0,14.0,2026-05-28,기타,29.0
Rattan Black Dimsum Bag,해외전용,2.0,1.0,1.0,353240.0,149000.0,204240.0,176620.0,2.0,1.0,1.0,2026-05-30,기타,2.0
